Subject,SessionDate,SessionTime,Sex,SexNum,Age,NativeLanguage,watch_movies,enjoy_scary_movies,watch_scary_movies,TV_with_screams,know_about_movies_actors,know_video_gmes,play_action_vid_gmes,confid_about_scrms_expt,diff_making_choice_expt,reading_emotions,CambridgeBehaviourScale,Trial,SoundFile2,StimType,Duration_1,Duration_2,Sound_End_Time,ScreamerSex,CorrectAnswer,Stimulus.RESP,ACC,Stimulus.RT,Actual_Latency
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,36,SameVocalizer_18,1.00,533.00,659.00,3443.00,0.00,1,2,0.00,5915,2472.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,3,SameVocalizer_19,1.00,2078.00,1955.00,6320.00,0.00,1,2,0.00,9657,3337.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,34,SameVocalizer_20,1.00,2050.00,1517.00,5594.00,0.00,1,1,1.00,3560,-2034.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,41,SameVocalizer_21,1.00,898.00,1517.00,4555.00,0.00,1,2,0.00,4586,31.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,45,SameVocalizer_22,1.00,641.00,389.00,3506.00,0.00,1,2,0.00,4735,1229.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,43,SameVocalizer_23,1.00,6076.00,7904.00,16542.00,0.00,1,2,0.00,17146,604.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,57,SameVocalizer_24,1.00,1290.00,1262.00,4642.00,0.00,1,2,0.00,8726,4084.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,8,DifferentVocalizer_1,2.00,893.00,679.00,3725.00,0.00,2,1,0.00,5088,1363.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,51,DifferentVocalizer_2,2.00,1351.00,1084.00,4823.00,1.00,2,2,1.00,5534,711.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,28,DifferentVocalizer_3,2.00,1351.00,1175.00,5427.00,1.00,2,2,1.00,6739,1312.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,18,DifferentVocalizer_4,2.00,891.00,665.00,3640.00,0.00,2,2,1.00,4188,548.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,11,DifferentVocalizer_5,2.00,1818.00,1831.00,5708.00,1.00,2,1,0.00,2316,-3392.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,23,DifferentVocalizer_6,2.00,487.00,371.00,3323.00,1.00,2,2,1.00,4204,881.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,1,DifferentVocalizer_7,2.00,2923.00,2782.00,8110.00,1.00,2,2,1.00,36987,28877.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,48,DifferentVocalizer_8,2.00,636.00,749.00,3523.00,1.00,2,2,1.00,4261,738.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,4,DifferentVocalizer_9,2.00,1726.00,1134.00,6700.00,0.00,2,2,1.00,7201,501.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,17,DifferentVocalizer_10,2.00,888.00,870.00,4015.00,0.00,2,2,1.00,4698,683.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,38,DifferentVocalizer_11,2.00,677.00,893.00,3824.00,0.00,2,1,0.00,7107,3283.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,49,DifferentVocalizer_12,2.00,3365.00,4632.00,10086.00,1.00,2,2,1.00,11460,1374.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,54,DifferentVocalizer_13,2.00,1326.00,1301.00,4776.00,0.00,2,2,1.00,6539,1763.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,19,DifferentVocalizer_14,2.00,1583.00,1517.00,5407.00,0.00,2,1,0.00,7546,2139.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,7,DifferentVocalizer_15,2.00,487.00,562.00,3424.00,1.00,2,2,1.00,4053,629.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,56,DifferentVocalizer_16,2.00,945.00,1259.00,4568.00,0.00,2,2,1.00,5113,545.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,40,DifferentVocalizer_17,2.00,645.00,420.00,3120.00,0.00,2,2,1.00,3686,566.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,27,DifferentVocalizer_18,2.00,1170.00,1173.00,5887.00,0.00,2,2,1.00,6564,677.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,6,DifferentVocalizer_19,2.00,1794.00,1044.00,5306.00,0.00,2,2,1.00,6160,854.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,44,DifferentVocalizer_20,2.00,916.00,1046.00,3982.00,0.00,2,2,1.00,4420,438.00
